DRG_DESC,STATE_DESC,DISCHARGES,AVERAGE_COVERED_CHARGES,AVERAGE_MEDICARE_PAYMENTS,AVERAGE_MEDICARE_REIMBURSEMENT
125 - OTHER DISORDERS OF THE EYE W/O MCC,NY,283,34058.13074,8872.424028,7136.491166
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MT,13,58704.61539,15133.92308,13961.38462
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,SD,13,81043.15385,15846.84615,14292.07692
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NV,14,150746.6429,21069,19570.64286
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,OK,18,147379.9444,19607,17880.44444
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,WV,18,108460.8333,20308.5,15062.38889
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,DC,19,113611.1053,23648,16941.1579
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MS,19,80575.94737,18474,15276.84211
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NH,19,103249.2632,24727.63158,22852.47368
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NM,22,65990.31818,17366.81818,13507.09091
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,KY,23,129340.3044,19991.43478,17541.26087
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,KS,24,100465.4583,18340.625,14406.875
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NE,24,61394.875,14600.70833,13231.45833
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,AR,26,31345.15385,15716.42308,13618.88462
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,UT,26,68653.23077,20026.30769,17286.5
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,CT,27,77842.22222,25731.37037,18778.25926
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,SC,27,109808.8889,34380.77778,21382.44444
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,IA,28,68251.53571,18493.17857,16967.32143
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,VA,28,93441.5,19349.07143,16642.82143
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,AL,29,66340.10345,17337.55172,13424.27586
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,LA,31,63954.93548,18473.74194,16171.22581
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NJ,31,107585.3548,21747.22581,18845.32258
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,GA,34,93883.97059,21676.11765,16443.08824
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,CO,36,116373.1389,18759.94444,16041
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,WI,39,69042.46154,23327.89744,16355.17949
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,OR,41,73891.82927,27276.63415,17732.43902
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,IN,45,101272.7778,18854.22222,16336.31111
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MD,49,46724.18367,43156.36735,40877.63265
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MI,54,86589.68519,22874.75926,18215.18519
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,OH,57,103347.2807,20616.03509,17653.35088
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MO,58,69570.86207,17070.5,14550.44828
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,AZ,59,89124.35593,18476.08475,14545.94915
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,TN,61,105422.7541,20578.95082,15091.91803
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MA,63,71931.90476,25564.87302,21622.46032
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NC,72,79880.125,22443.80556,16324.95833
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,WA,75,93318.05333,23169.16,18615.21333
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MN,91,56030.93407,22186.9011,17081.37363
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,IL,105,90996.57143,24811.86667,17529.46667
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,FL,106,109785.6981,19263.64151,16012.5
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,NY,106,100528.0472,26097.32076,22607.69811
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,PA,111,137921.6126,22824.35135,17126.79279
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,TX,119,96633.67227,18993.5042,15500.9916
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,CA,210,159779.6381,27635.77619,23493.40952
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,DC,11,83010.63636,16462.27273,8237.272727
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,KS,11,45094.36364,9742.363636,8413.272727
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MS,11,57415.54546,12396.27273,10031
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,UT,12,36828.75,13377.33333,10038.16667
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,CT,13,55431.61539,14074.30769,10969.76923
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,WI,14,35315.85714,11614.21429,8501.285714
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,AR,15,38380.8,10453.4,6728.8
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,KY,15,50277.6,11426.93333,9569.933333
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,OR,17,56139.64706,16478.35294,11274.64706
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,LA,19,51788.89474,12145.26316,10001.94737
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MO,19,41869.42105,10773.68421,8462.842105
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,SC,19,73174.47368,13440.42105,11065.94737
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,AZ,20,55533.05,11795.35,9734.9
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MD,21,35975.57143,33382.85714,30601.95238
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,CO,25,86897.68,10991.76,8899.36
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,TN,28,70439.25,11546.82143,8868.214286
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,AL,31,56777.83871,10679.54839,7985.677419
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MN,32,42466.125,13134.8125,11154.25
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,OH,32,72115.40625,12902.4375,10022.625
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,VA,33,65336.42424,12004.9697,9341.363636
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,NC,34,55914.11765,13473.35294,9736.852941
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,WA,35,66363.42857,15130.22857,12530.2
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,GA,38,53806.44737,11821.26316,9866.5
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,IN,38,56269.42105,10209.60526,8226.578947
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MI,40,49656.95,14560.275,9063.8
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,IL,43,65938.67442,16835.04651,12544.13954
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MA,48,43851.20833,15023.3125,13403.04167
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,PA,49,93804.40816,13284.53061,9782.408163
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,FL,52,82032.25,13457.15385,9534.557692
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,NY,66,54770.5303,17642.13636,12089.12121
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,TX,72,57531.875,12590.625,9005.444444
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,CA,86,112631.9186,17901.48837,14078.7093
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,IA,11,82081,20237.27273,17350.72727
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,DC,12,125183.8333,42744.25,17762.33333
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,UT,13,70534.92308,20915.46154,18145.76923
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,WI,14,98852.92857,22776.85714,16666.71429
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,KS,15,121520.2,28373.6,17101.73333
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,OK,15,133029.6,21833,18242.8
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,WA,15,93829.8,26796.46667,22201.06667
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,IN,16,111712.4375,22609.875,17595.875
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,SC,16,91308.9375,22324.8125,15913.625
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,AL,17,76423.82353,17216.76471,15134.29412
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,KY,17,160912.4118,23271.11765,21005.47059
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,WV,17,93764.70588,21313.23529,18680.23529
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,GA,18,113815.5,22799.88889,21117.16667
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,OR,18,83161.61111,28172.77778,23387.66667
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,CO,22,120339.8182,21724.40909,18071.95455
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,LA,28,91559.64286,25440.35714,20916.5
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,NJ,28,165915.9643,28402.07143,21590.60714
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,MN,29,87626.51724,24043.24138,20869.75862
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,MD,34,48309.82353,44684.26471,41966.97059
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,MO,35,92611,19451.88571,17230.11429
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,AZ,36,109225.0278,20730.88889,17133.97222
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,MI,36,90188.08333,23909.88889,21099.58333
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,VA,37,82476.21622,20819.48649,18295.67568
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,NC,38,71036.26316,21969.05263,16083.97368
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,IL,44,90318.40909,23927.61364,18315.68182
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,MA,44,66708.70455,25133.63636,22817.18182
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,OH,49,82845.04082,21377.12245,17000.95918
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,TN,50,95093.22,19364.52,16412.14
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,NY,72,100577.8889,28492.15278,25233.22222
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,PA,74,129466.6351,21604.95946,17464.12162
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,FL,77,118928.7533,18118.68831,16176.01299
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,TX,89,105686.5169,22215.94382,15743.02247
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,CA,170,161431.2059,29784.6,25374.24118
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,AL,11,55413.54546,13026.72727,9606.727273
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,GA,11,82911.45455,13861.72727,12207.72727
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,KY,11,73437.54546,12829.45455,10930.45455
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,MD,11,23192.63636,21389.27273,20175.45455
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,NC,11,43825.72727,12556.36364,8901.636364
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,WA,11,68203.72727,13304.18182,11977.09091
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,AZ,12,77709.41667,13501.16667,9763.666667
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,IN,12,74078.08333,13067.25,11351.16667
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,MN,13,35234.69231,16659.38462,9238.538462
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,OH,13,64463.15385,11575.69231,9807.461539
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,MI,14,65868.57143,14585.57143,11185.64286
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,SC,14,59550.35714,13289.57143,11596.21429
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,TN,16,57346.75,11355.3125,9222.75
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,IL,19,57715.1579,23224.52632,8962.736842
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,PA,19,95626.73684,14030.94737,11473.63158
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,MA,20,71469.4,16768.45,14972.85
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,NY,27,46535.74074,16176.2963,14403.37037
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,FL,30,88130.16667,12719.1,9746.4
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,TX,39,64273.30769,13885.97436,9974.820513
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,CA,54,85981.92593,16855.85185,14550.5
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",UT,11,66113.81818,24433.45455,21606.45455
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",DC,12,65203,19981.58333,12623.41667
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",NV,12,81594.75,15135.41667,13814.75
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",WV,13,48323.38462,14861.38462,13077.61539
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",NE,14,37395.07143,14577.28571,10124.35714
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",AR,15,47042.6,12222.93333,10356.93333
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",IA,18,60064.11111,14784.61111,13459.88889
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",OR,19,68060.94737,20843.31579,18815
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",CT,20,48272.25,19402.85,16276.85
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",KS,23,79795.3913,12755.26087,11828.30435
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",OK,26,107435.5769,17613.96154,14699.19231
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",SC,26,83345.73077,20875.42308,17432.07692
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",MD,27,28622.14815,26663.77778,22877.7037
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",KY,29,43881.51724,14773.93103,11272.93103
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",NJ,29,89794.37931,20875.7931,15860.13793
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",CO,30,104104.0667,15343,13300.33333
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",WI,34,66812.17647,21234.47059,13565.58824
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",LA,35,92725.91429,20629.4,16093.05714
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",WA,35,67069.57143,18327.88571,14684.71429
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",TN,37,57927.78378,13876.13514,11452.64865
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",MN,41,46956.07317,17730.07317,14663.65854
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",AL,42,61125.26191,13035.57143,11293.02381
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",AZ,42,69755.95238,15254.71429,13200.19048
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",VA,43,71005.11628,18862.69767,12187.72093
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",GA,45,169869.1111,33293.71111,29326.31111
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",IN,50,64068.88,15439.8,12247.78
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",NC,56,42339.55357,15977.55357,12600.57143
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",MA,63,60498.07937,22657.84127,17934.15873
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",MO,64,62680.29688,14401.70313,12854.53125
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",MI,72,61021.40278,18214.45833,15175.31944
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",OH,72,66773.40278,15707.20833,12504.63889
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",IL,88,65214.11364,20173.98864,15342.125
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",NY,98,95250.32653,24683.20408,20803.23469
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",PA,99,102621.0404,18788.61616,15344.12121
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",TX,112,97835.58036,18868.48214,14930.11607
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",FL,113,136410.531,18730.0531,15720.25664
"133 - ""OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC""",CA,150,133282.0133,24451.33333,21164.50667
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",CT,11,40115.54546,10841.63636,9124.909091
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",IN,12,37097.16667,9193.666667,6613.416667
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",KY,13,57494.53846,11202.46154,6095.615385
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NJ,13,71237.92308,12252.76923,9624.461539
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",CO,16,62511.5625,11584.125,6458
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",OK,16,57873.6875,9131.375,7583.5
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",OR,16,38345.75,10157.75,8674
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MO,17,44004.47059,8645.647059,7387.058824
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MN,18,39001.38889,9982.888889,8333.333333
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",TN,18,47395.22222,8400.5,6686.555556
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",WI,18,32180.83333,9705.444444,6804.055556
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",AZ,20,52095.9,8991.75,7591
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MD,20,18337.8,17245.75,13258.7
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",LA,22,40001.77273,11936.72727,9265.954546
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NC,22,35698.13636,10470.77273,7542.272727
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",SC,22,43810.72727,11395.77273,8082.409091
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",WA,22,56054.22727,10197.81818,7877.181818
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",OH,24,45584.70833,9082.125,7110.208333
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",GA,26,38222.61539,8214.038462,6942.269231
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",IL,28,46198.82143,9396.607143,7187.25
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MI,31,37139.09677,9836.870968,8321.677419
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",AL,32,43864.1875,9359.34375,6074.34375
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",VA,35,48185.68571,10611.31429,6949.085714
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MA,36,33769.69444,11561,9866.222222
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NY,48,47905.54167,12399.6875,10182.66667
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",FL,58,57559.13793,8694.431035,7222.862069
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",PA,67,71229.55224,10818.41791,7550.343284
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",TX,68,58445.35294,9481.852941,7196.647059
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",CA,86,77101.88372,12999.2093,9983.27907
135 - SINUS & MASTOID PROCEDURES W CC/MCC,NY,15,80326.93333,28281.93333,19691.73333
135 - SINUS & MASTOID PROCEDURES W CC/MCC,TX,15,115170.5333,17233.4,15096.66667
135 - SINUS & MASTOID PROCEDURES W CC/MCC,GA,17,85840.64706,25951.47059,21178.52941
135 - SINUS & MASTOID PROCEDURES W CC/MCC,PA,19,105589.8947,18713.47368,15335.78947
135 - SINUS & MASTOID PROCEDURES W CC/MCC,FL,23,136017.6087,19949.82609,16066.30435
135 - SINUS & MASTOID PROCEDURES W CC/MCC,CA,37,124775.0541,25572.2973,22261.32432
137 - MOUTH PROCEDURES W CC/MCC,MD,11,22207.45455,20779.54546,16621.18182
137 - MOUTH PROCEDURES W CC/MCC,OR,11,36459.54546,12282.27273,10566.45455
137 - MOUTH PROCEDURES W CC/MCC,IA,12,36141.33333,11404.75,9144.916667
137 - MOUTH PROCEDURES W CC/MCC,KY,12,25973.66667,10096.75,8755.25
137 - MOUTH PROCEDURES W CC/MCC,CO,13,66007.53846,10108.15385,8088.076923
137 - MOUTH PROCEDURES W CC/MCC,AL,14,46768.28571,9030.214286,7651.857143
137 - MOUTH PROCEDURES W CC/MCC,NV,14,58991.85714,12770.28571,8695.428571
137 - MOUTH PROCEDURES W CC/MCC,CT,15,30929.86667,12287.26667,10418.33333
137 - MOUTH PROCEDURES W CC/MCC,RI,15,28138.6,13464.46667,11585
137 - MOUTH PROCEDURES W CC/MCC,WI,17,62609.47059,13207.29412,11139.88235
137 - MOUTH PROCEDURES W CC/MCC,IN,18,44169.72222,10103.61111,8721.166667
137 - MOUTH PROCEDURES W CC/MCC,LA,19,41006.1579,12169.94737,9226.789474
137 - MOUTH PROCEDURES W CC/MCC,TN,19,44960.57895,12236.68421,9014.105263
137 - MOUTH PROCEDURES W CC/MCC,MN,20,30489.4,15840.65,9923.55
137 - MOUTH PROCEDURES W CC/MCC,WA,20,42425.55,11546.6,9785
137 - MOUTH PROCEDURES W CC/MCC,GA,21,41998.33333,10540.85714,8932.666667
137 - MOUTH PROCEDURES W CC/MCC,AZ,22,45024.04546,13591.22727,10467.5
137 - MOUTH PROCEDURES W CC/MCC,MO,26,28435.23077,10499.11539,8859.538462
137 - MOUTH PROCEDURES W CC/MCC,VA,27,38876.22222,11570.07407,8015.740741
137 - MOUTH PROCEDURES W CC/MCC,OH,30,47631.03333,11399.9,8111.2
137 - MOUTH PROCEDURES W CC/MCC,MA,31,32541.29032,13893.29032,12004.48387
137 - MOUTH PROCEDURES W CC/MCC,NC,33,25421.12121,10949.24242,7857
137 - MOUTH PROCEDURES W CC/MCC,NJ,33,81861.36364,15353.42424,9945
137 - MOUTH PROCEDURES W CC/MCC,PA,42,65331.97619,13304.97619,9957.380952
137 - MOUTH PROCEDURES W CC/MCC,IL,45,47308.55556,12278.97778,8645.155556
137 - MOUTH PROCEDURES W CC/MCC,NY,45,49729.24444,14231.08889,12191
137 - MOUTH PROCEDURES W CC/MCC,FL,49,77774.2449,10265.40816,8899.326531
137 - MOUTH PROCEDURES W CC/MCC,MI,53,30566.5283,10872.24528,9175.415094
137 - MOUTH PROCEDURES W CC/MCC,CA,55,92507.67273,13707.14546,12036.58182
137 - MOUTH PROCEDURES W CC/MCC,TX,94,53313,10903.60638,9050.659575
138 - MOUTH PROCEDURES W/O CC/MCC,IN,11,32818.90909,7080.909091,5762.454546
138 - MOUTH PROCEDURES W/O CC/MCC,MD,11,11823.45455,11202.81818,7082
138 - MOUTH PROCEDURES W/O CC/MCC,CT,12,20843.41667,8213.333333,6647.583333
